state,date,division,index
Kedah,1/4/2025,overall,128.1
Kedah,1/5/2025,overall,128
Kedah,1/6/2025,overall,128.2
Kedah,1/7/2025,overall,128
Kelantan,1/1/2010,overall,99.1
Kelantan,1/2/2010,overall,99
Kelantan,1/3/2010,overall,99
Kelantan,1/4/2010,overall,99.2
Kelantan,1/5/2010,overall,99.4
Kelantan,1/6/2010,overall,99.7
Kelantan,1/7/2010,overall,100
Kelantan,1/8/2010,overall,100.5
Kelantan,1/9/2010,overall,100.6
Kelantan,1/10/2010,overall,100.7
Kelantan,1/11/2010,overall,101.2
Kelantan,1/12/2010,overall,101.7
Kelantan,1/1/2011,overall,102.4
Kelantan,1/2/2011,overall,102.6
Kelantan,1/3/2011,overall,102.8
Kelantan,1/4/2011,overall,103.3
Kelantan,1/5/2011,overall,103.8
Kelantan,1/6/2011,overall,104.1
Kelantan,1/7/2011,overall,104.3
Kelantan,1/8/2011,overall,104.6
Kelantan,1/9/2011,overall,104.7
Kelantan,1/10/2011,overall,104.8
Kelantan,1/11/2011,overall,104.8
Kelantan,1/12/2011,overall,105.1
Kelantan,1/1/2012,overall,105.6
Kelantan,1/2/2012,overall,105.3
Kelantan,1/3/2012,overall,105.2
Kelantan,1/4/2012,overall,105.1
Kelantan,1/5/2012,overall,105.5
Kelantan,1/6/2012,overall,106
Kelantan,1/7/2012,overall,105.8
Kelantan,1/8/2012,overall,106.1
Kelantan,1/9/2012,overall,106
Kelantan,1/10/2012,overall,105.9
Kelantan,1/11/2012,overall,106
Kelantan,1/12/2012,overall,106.1
Kelantan,1/1/2013,overall,106.6
Kelantan,1/2/2013,overall,106.8
Kelantan,1/3/2013,overall,106.8
Kelantan,1/4/2013,overall,106.9
Kelantan,1/5/2013,overall,107.3
Kelantan,1/6/2013,overall,107.8
Kelantan,1/7/2013,overall,108.3
Kelantan,1/8/2013,overall,108.3
Kelantan,1/9/2013,overall,109
Kelantan,1/10/2013,overall,109.4
Kelantan,1/11/2013,overall,109.7
Kelantan,1/12/2013,overall,110.2
Kelantan,1/1/2014,overall,110.6
Kelantan,1/2/2014,overall,110.8
Kelantan,1/3/2014,overall,110.9
Kelantan,1/4/2014,overall,110.9
Kelantan,1/5/2014,overall,111.1
Kelantan,1/6/2014,overall,111.3
Kelantan,1/7/2014,overall,111.8
Kelantan,1/8/2014,overall,111.8
Kelantan,1/9/2014,overall,111.8
Kelantan,1/10/2014,overall,112.5
Kelantan,1/11/2014,overall,112.8
Kelantan,1/12/2014,overall,113.1
Kelantan,1/1/2015,overall,111.8
Kelantan,1/2/2015,overall,110.8
Kelantan,1/3/2015,overall,111.6
Kelantan,1/4/2015,overall,112.8
Kelantan,1/5/2015,overall,113.2
Kelantan,1/6/2015,overall,113.9
Kelantan,1/7/2015,overall,115.3
Kelantan,1/8/2015,overall,114.6
Kelantan,1/9/2015,overall,114.1
Kelantan,1/10/2015,overall,114.5
Kelantan,1/11/2015,overall,115.2
Kelantan,1/12/2015,overall,115.1
Kelantan,1/1/2016,overall,114.9411586
Kelantan,1/2/2016,overall,114.9206072
Kelantan,1/3/2016,overall,114.0276411
Kelantan,1/4/2016,overall,114.2933533
Kelantan,1/5/2016,overall,114.6502473
Kelantan,1/6/2016,overall,115.3195732
Kelantan,1/7/2016,overall,115.7977163
Kelantan,1/8/2016,overall,115.8116332
Kelantan,1/9/2016,overall,115.4960456
Kelantan,1/10/2016,overall,115.477677
Kelantan,1/11/2016,overall,116.7160589
Kelantan,1/12/2016,overall,116.8075059
Kelantan,1/1/2017,overall,118.3168508
Kelantan,1/2/2017,overall,119.5377567
Kelantan,1/3/2017,overall,119.2583908
Kelantan,1/4/2017,overall,118.7249218
Kelantan,1/5/2017,overall,118.6601173
Kelantan,1/6/2017,overall,118.6424938
Kelantan,1/7/2017,overall,118.6794998
Kelantan,1/8/2017,overall,119.6753613
Kelantan,1/9/2017,overall,119.779674
Kelantan,1/10/2017,overall,119.6082526
Kelantan,1/11/2017,overall,120.2658818
Kelantan,1/12/2017,overall,120.4999938
Kelantan,1/1/2018,overall,120.8721999
Kelantan,1/2/2018,overall,120.7808357
Kelantan,1/3/2018,overall,120.1941267
Kelantan,1/4/2018,overall,120.0008512
Kelantan,1/5/2018,overall,120.4008692
Kelantan,1/6/2018,overall,119.3910123
Kelantan,1/7/2018,overall,119.5233408
Kelantan,1/8/2018,overall,119.5822961
Kelantan,1/9/2018,overall,119.7600727
Kelantan,1/10/2018,overall,119.7862562
Kelantan,1/11/2018,overall,120.1723832
Kelantan,1/12/2018,overall,120.5298691
Kelantan,1/1/2019,overall,120
Kelantan,1/2/2019,overall,120
Kelantan,1/3/2019,overall,120
Kelantan,1/4/2019,overall,119.9
Kelantan,1/5/2019,overall,120.7
Kelantan,1/6/2019,overall,120.8
Kelantan,1/7/2019,overall,120.8
Kelantan,1/8/2019,overall,121
Kelantan,1/9/2019,overall,120.8
Kelantan,1/10/2019,overall,120.8
Kelantan,1/11/2019,overall,120.7
Kelantan,1/12/2019,overall,121.1
Kelantan,1/1/2020,overall,121.2
Kelantan,1/2/2020,overall,121.1
Kelantan,1/3/2020,overall,119.5
Kelantan,1/4/2020,overall,115.9
Kelantan,1/5/2020,overall,116.2
Kelantan,1/6/2020,overall,117.9
Kelantan,1/7/2020,overall,118.9
Kelantan,1/8/2020,overall,118.9
Kelantan,1/9/2020,overall,118.8
Kelantan,1/10/2020,overall,118.8
Kelantan,1/11/2020,overall,118.6
Kelantan,1/12/2020,overall,119.6
Kelantan,1/1/2021,overall,121.4
Kelantan,1/2/2021,overall,121.9
Kelantan,1/3/2021,overall,122.2
Kelantan,1/4/2021,overall,122.5
Kelantan,1/5/2021,overall,122.7
Kelantan,1/6/2021,overall,122.7
Kelantan,1/7/2021,overall,121.8
Kelantan,1/8/2021,overall,121.8
Kelantan,1/9/2021,overall,122.1
Kelantan,1/10/2021,overall,123.1
Kelantan,1/11/2021,overall,123.4
Kelantan,1/12/2021,overall,124.1
Kelantan,1/1/2022,overall,124.3
